AOP vs OOP GitHub Repository Metrics — Software Engineering Research Study  |  April 2025,,,,,,,,,,,,,,,,,,,,,,,,,,
Paradigm,Owner,Repository,Language,License,Stars,Forks,Created,Last Push,Size (KB),Total Commits,Contributors,Issues (All),Pull Requests,Releases,Repo Age (Days),Commits/Month,Commits/Contrib.,Avg Lines Added,Avg Lines Deleted,Avg Churn/Commit,Analyzed Files,Total NLOC,Total Functions,Est. Classes,Avg Cyclomatic CC,Avg Func Len (NLOC)
AOP,spring-projects,spring-framework,Java,Apache-2.0,"56,800","38,100",2012-01-09,2025-04-07,"318,000","26,500",980,"19,200","7,400",280,"4,836",164.0,27.0,182.0,94.0,276.0,"8,200","412,000","52,400","6,100",2.8,7.9
AOP,eclipse-aspectj,aspectj,Java,EPL-2.0,"1,780",310,2012-04-12,2025-04-05,"42,000","6,400",58,480,920,120,"4,741",40.0,110.3,145.0,88.0,233.0,"2,900","138,000","18,600","2,800",3.4,7.4
AOP,jbossas,jboss-as,Java,LGPL-2.1,"1,480","1,120",2010-10-15,2024-03-18,"195,000","22,700",340,"1,100","3,800",45,"4,917",139.0,66.8,210.0,120.0,330.0,"6,100","389,000","41,200","5,300",2.9,9.4
AOP,quarkusio,quarkus,Java,Apache-2.0,"14,200","2,800",2019-03-14,2025-04-07,"892,000","31,200","1,620","14,800","22,400",380,"2,220",422.0,19.3,290.0,140.0,430.0,"9,800","148,000","61,000","7,200",2.4,6.2
AOP,aosp-mirror,platform_frameworks_base,Java,Apache-2.0,"10,100","4,900",2013-01-30,2025-04-06,"1,250,000","241,000","1,800",320,180,0,"4,449","1,628.0",133.9,88.0,42.0,130.0,"8,400","142,000","58,000","6,800",3.1,8.8
OOP,junit-team,junit5,Java,EPL-2.0,"6,300","1,480",2015-10-22,2025-04-06,"16,800","8,200",310,"2,400","2,100",95,"3,453",71.3,26.5,98.0,52.0,150.0,"1,380","64,000","8,400","1,100",2.2,7.6
OOP,google,guava,Java,Apache-2.0,"50,200","10,900",2014-07-13,2025-04-04,"44,000","4,800",380,"2,100","1,900",65,"3,919",36.8,12.6,210.0,130.0,340.0,"2,100","112,000","16,200","2,400",2.6,6.9
OOP,apache,commons-lang,Java,Apache-2.0,"4,400","2,000",2012-05-09,2025-04-05,"8,200","4,600",210,"1,200","1,500",42,"4,713",29.3,21.9,68.0,35.0,103.0,460,"38,000","5,100",510,2.1,7.5
OOP,ReactiveX,RxJava,Java,Apache-2.0,"47,900","7,600",2013-01-07,2025-03-28,"27,000","5,200",430,"4,100","2,200",320,"4,473",35.0,12.1,155.0,88.0,243.0,"1,720","94,000","13,800","1,600",3.2,6.8
OOP,square,retrofit,Java,Apache-2.0,"43,200","7,300",2013-05-17,2025-04-02,"5,100","1,850",195,"3,400",820,80,"4,337",12.8,9.5,78.0,44.0,122.0,320,"18,000","2,400",390,2.0,7.5
,,,,,,,,,,,,,,,,,,,,,,,,,,
Legend:, AOP Repository , OOP Repository ,,,,,,,,,,,,,,,,,,,,,,,,